index,airline_name,overall_rating,review_date,verified,type_of_traveller,seat_type,date_flown,seat_comfort,cabin_staff_service,food_&_beverages,ground_service,value_for_money,recommended,year
0,AB Aviation,9,11th November 2019,True,Solo Leisure,Economy Class,November 2019,4,5,4,4,3,True,2019
1,AB Aviation,1,25th June 2019,True,Solo Leisure,Economy Class,June 2019,2,2,1,1,2,False,2019
2,AB Aviation,1,25th June 2019,True,Solo Leisure,Economy Class,June 2019,2,1,1,1,2,False,2019
3,Adria Airways,1,28th September 2019,False,Solo Leisure,Economy Class,September 2019,1,1,1,1,1,False,2019
4,Adria Airways,1,24th September 2019,True,Couple Leisure,Economy Class,September 2019,1,1,1,1,1,False,2019
5,Adria Airways,1,17th September 2019,True,Couple Leisure,Economy Class,September 2019,1,1,1,1,1,False,2019
6,Adria Airways,1,6th September 2019,False,Business,Economy Class,September 2019,1,1,1,1,1,False,2019
7,Adria Airways,1,24th August 2019,False,Solo Leisure,Economy Class,August 2019,1,1,1,1,1,False,2019
8,Adria Airways,1,6th August 2019,True,Solo Leisure,Economy Class,August 2019,1,2,1,1,1,False,2019
9,Adria Airways,8,12th October 2018,True,Family Leisure,Economy Class,October 2018,4,4,3,5,5,True,2018
10,Adria Airways,1,5th October 2018,False,Business,Economy Class,October 2018,2,1,1,1,1,False,2018
11,Adria Airways,1,29th July 2018,True,Family Leisure,Economy Class,July 2018,4,1,1,4,1,False,2018
12,Adria Airways,2,19th July 2018,True,Solo Leisure,Economy Class,May 2018,3,3,1,3,2,False,2018
13,Adria Airways,2,30th June 2018,True,Business,Economy Class,June 2018,1,2,2,2,1,False,2018
14,Adria Airways,3,24th June 2018,True,Couple Leisure,Economy Class,June 2018,3,3,1,1,1,False,2018
15,Adria Airways,1,4th May 2018,True,Business,Economy Class,April 2018,5,5,5,5,5,True,2018
16,Adria Airways,1,11th March 2018,True,Solo Leisure,Economy Class,March 2018,2,1,1,1,1,False,2018
17,Adria Airways,3,5th December 2017,True,Solo Leisure,Economy Class,September 2017,2,4,1,1,3,False,2017
18,Adria Airways,9,20th November 2017,True,Business,Economy Class,November 2017,5,5,3,5,3,True,2017
19,Adria Airways,2,27th October 2017,False,Couple Leisure,Economy Class,October 2017,3,3,1,1,1,False,2017
20,Adria Airways,2,16th September 2017,False,Family Leisure,Economy Class,June 2017,3,4,1,1,2,False,2017
21,Adria Airways,9,19th April 2017,False,Business,Economy Class,April 2017,5,5,4,5,4,True,2017
22,Adria Airways,8,27th January 2017,False,Solo Leisure,Business Class,December 2016,5,5,4,5,4,True,2016
23,Adria Airways,1,10th November 2016,False,Business,Economy Class,October 2016,5,5,1,5,4,True,2016
